Edge    Weight
41 - 874      0.16
204 - 875      0.14
914 - 876      0.01
259 - 877      0.02
7 - 878      0.42
707 - 879      0.10
119 - 880      0.29
666 - 881      0.60
258 - 882      0.20
307 - 883      0.17
216 - 884      0.22
965 - 885      0.17
601 - 886      0.41
33 - 887      0.01
550 - 888      0.14
373 - 889      0.25
236 - 890      0.29
184 - 891      0.71
268 - 892      0.39
507 - 893      0.21
177 - 894      0.28
390 - 895      0.06
109 - 896      0.21
536 - 897      0.06
757 - 898      0.22
850 - 899      0.17
603 - 900      0.19
858 - 901      0.21
529 - 902      0.38
965 - 903      1.06
229 - 904      0.18
158 - 905      0.34
297 - 906      0.80
237 - 907      0.22
8 - 908      0.19
454 - 909      0.43
933 - 910      0.17
10 - 911      0.25
250 - 912      0.08
340 - 913      0.27
318 - 914      0.27
933 - 915      0.12
276 - 916      0.05
948 - 917      0.36
735 - 918      0.19
482 - 919      0.18
831 - 920      0.11
617 - 921      0.21
596 - 922      0.54
117 - 923      0.17
421 - 924      0.36
974 - 925      0.14
700 - 926      0.10
25 - 927      0.08
379 - 928      0.25
977 - 929      0.64
271 - 930      0.01
754 - 931      0.52
53 - 932      0.06
694 - 933      0.00
930 - 934      0.10
855 - 935      0.24
853 - 936      0.28
504 - 937      0.15
574 - 938      0.19
716 - 939      0.13
757 - 940      0.08
493 - 941      0.30
835 - 942      0.22
707 - 943      0.48
523 - 944      0.08
695 - 945      0.06
236 - 946      0.21
914 - 947      0.09
125 - 948      0.15
222 - 949      0.05
115 - 950      0.35
737 - 951      0.67
892 - 952      0.45
58 - 953      0.05
761 - 954      0.16
323 - 955      0.34
900 - 956      0.24
580 - 957      0.10
138 - 958      0.26
965 - 959      0.04
315 - 960      0.29
787 - 961      0.00
315 - 962      0.05
772 - 963      0.02
958 - 964      0.25
11 - 965      0.11
305 - 966      0.43
672 - 967      0.28
976 - 968      0.12
81 - 969      0.04
452 - 970      0.39
691 - 971      0.10
60 - 972      0.58
456 - 973      0.12
831 - 974      0.09
613 - 975      0.22
962 - 976      0.04
996 - 977      0.61
767 - 978      0.50
462 - 979      0.14
365 - 980      0.34
580 - 981      0.17
893 - 982      0.10
713 - 983      0.24
852 - 984      0.18
591 - 985      0.24
686 - 986      0.13
95 - 987      0.03
605 - 988      0.22
382 - 989      0.19
279 - 990      0.10
573 - 991      0.26
844 - 992      0.14
890 - 993      0.06
300 - 994      0.31
326 - 995      0.25
688 - 996      0.64
836 - 997      0.15
228 - 998      0.08
117 - 999      0.28
48 - 1000      0.05
total weight: 219.74
